Date,africa,asia,antarctica,atlantic,arctic,australia,europe,indian-ocean,north-america,pacific,south-america
1900-06-13,true,true,true,true,false,false,true,true,true,true,true
1900-11-6,true,true,true,true,true,true,true,true,true,true,true
1901-05-3,true,true,true,true,false,true,true,true,false,true,true
1901-10-27,true,true,true,false,true,true,true,true,true,true,false
1902-04-22,true,true,true,true,false,true,true,true,false,true,true
1902-10-17,true,true,true,true,true,true,true,false,true,true,true
1903-04-12,true,true,true,true,true,true,true,true,true,true,true
1903-10-6,true,true,true,true,true,true,true,true,true,true,false
1904-03-2,true,true,true,true,true,false,true,true,true,true,true
1904-08-26,true,true,true,true,true,true,true,true,true,true,true
1904-09-24,true,true,true,true,true,true,true,true,true,true,false
1905-02-19,true,true,true,true,true,true,true,true,true,true,true
1905-08-15,true,true,true,true,false,false,true,true,true,true,true
1906-02-9,true,true,true,true,true,true,true,false,true,true,true
1906-08-4,true,true,true,true,false,true,false,true,true,true,true
1907-01-29,true,true,true,true,true,true,true,true,true,true,true
1907-07-25,true,true,true,true,false,false,true,true,true,true,true
1908-01-18,true,true,false,true,true,true,true,true,true,true,false
1908-06-14,true,true,true,true,false,true,false,true,true,true,true
1908-07-13,true,true,true,true,false,true,true,true,false,true,true
1908-12-7,true,true,false,true,true,true,true,true,true,true,true
1909-06-4,true,true,true,true,false,true,true,true,true,true,true
1909-11-27,true,true,false,true,true,true,true,false,true,true,true
1910-05-24,true,true,true,true,false,true,true,true,true,true,true
1910-11-17,true,true,true,true,true,false,true,true,true,true,true
1911-05-13,true,false,true,true,false,true,true,true,true,true,true
1911-10-8,true,true,true,true,true,true,true,true,true,true,true
1911-11-6,true,true,true,false,true,true,true,true,true,true,false
1912-04-1,true,true,true,true,true,true,true,true,true,true,true
1913-09-15,true,true,true,true,true,true,true,true,true,true,true
1914-03-12,true,true,true,true,true,false,true,true,true,true,true
1914-09-4,true,true,true,true,true,true,true,true,true,true,true
1915-01-31,true,true,true,true,true,false,true,false,true,true,true
1915-03-1,true,true,true,true,true,true,true,true,true,true,false
1915-08-24,true,true,true,true,false,true,true,true,true,true,true
1916-01-20,true,true,false,true,true,true,true,false,true,true,true
1916-07-15,true,true,true,true,false,false,true,true,true,true,true
1917-01-8,true,true,false,true,true,true,true,false,true,true,true
1917-07-4,true,true,true,true,false,true,true,true,true,true,true
1917-12-28,true,true,false,true,true,true,true,true,true,true,true
1918-11-18,true,true,true,true,true,true,true,true,true,true,true
1918-12-17,true,true,false,true,true,true,true,true,true,true,true
1919-05-15,true,true,true,true,false,true,true,true,true,true,true
1919-11-7,true,true,true,true,true,true,true,true,true,true,true
1920-05-3,true,true,true,true,false,true,true,true,true,true,true
1920-10-27,true,true,true,true,true,true,true,true,true,true,false
1921-04-22,true,true,true,true,false,true,true,true,true,true,true
1921-10-16,true,true,true,true,true,true,true,true,true,true,true
1922-04-11,true,true,true,true,true,true,true,true,false,true,true
1922-10-6,true,true,true,true,true,false,true,true,true,true,true
1923-03-3,true,true,true,true,true,false,true,true,true,true,true
1924-02-20,true,true,true,true,true,true,true,true,true,true,false
1924-08-14,true,true,true,true,false,true,true,true,true,true,true
1925-02-8,true,true,true,true,true,true,true,true,true,true,true
1926-01-28,true,true,true,true,true,true,true,true,true,true,true
1926-06-25,true,true,true,true,false,true,true,true,true,true,true
1926-07-25,true,false,true,true,false,false,true,true,true,true,true
1926-12-19,true,true,false,true,true,false,true,false,true,true,true
1927-06-15,true,true,true,true,false,true,false,true,true,true,true
1927-12-8,true,true,false,true,true,true,true,true,true,true,false
1928-06-3,true,true,true,true,false,true,false,true,true,true,true
1928-11-27,true,true,false,true,true,true,true,false,true,true,true
1929-05-23,true,true,true,true,false,true,false,true,true,true,true
1929-11-17,true,true,true,true,true,false,true,true,true,true,true
1930-04-13,true,true,true,true,false,true,true,true,true,true,true
1930-10-7,true,true,true,true,true,true,true,true,true,true,true
1931-04-2,true,true,true,true,true,true,true,true,true,true,true
1931-09-26,true,true,true,true,true,true,true,true,true,true,true
1932-09-14,true,true,true,true,true,true,true,true,true,true,true
1933-03-12,true,true,true,true,true,false,true,true,true,true,true
1933-08-5,true,true,true,true,false,true,true,true,false,true,true
1933-09-4,true,true,true,true,true,false,true,true,true,true,true
1934-01-30,true,true,true,true,true,true,true,true,true,true,false
1935-01-19,true,true,false,true,true,true,true,true,true,true,false
1935-07-16,true,true,true,true,false,true,true,true,true,true,true
1936-01-8,true,true,false,true,true,true,true,true,true,true,false
1936-07-4,true,true,true,true,false,true,true,true,false,true,false
1936-12-28,true,true,false,true,true,false,true,true,true,true,true
1937-05-25,true,false,true,true,false,true,false,true,true,true,true
1937-11-18,true,true,true,true,true,true,true,false,true,true,true
1938-05-14,true,true,true,true,false,true,false,true,true,true,true
1938-11-7,true,true,true,true,true,true,true,true,true,true,true
1939-05-3,true,true,true,true,false,true,true,true,true,true,false
1939-10-28,true,true,true,true,true,true,true,false,true,true,true
1940-03-23,true,true,true,true,true,true,true,true,false,true,false
1940-04-22,true,true,true,true,false,false,true,true,true,true,true
1940-10-16,true,true,true,true,true,true,true,false,true,true,true
1941-09-5,true,true,true,true,true,true,true,true,true,true,false
1942-03-3,true,true,true,true,true,true,true,true,true,true,true
1942-08-26,true,true,true,true,false,false,true,true,true,true,true
1943-02-20,true,true,true,true,true,false,true,true,true,true,true
1943-08-15,true,true,true,true,false,true,true,true,false,true,true
1944-02-9,true,true,true,true,true,false,true,false,true,true,true
1944-07-6,true,false,true,true,false,false,true,true,true,true,true
1944-12-29,true,true,false,true,true,true,true,true,true,true,false
1945-06-25,true,true,true,true,false,true,true,true,true,true,true
1945-12-19,true,true,false,true,true,false,true,true,true,true,true
1946-06-14,true,true,true,true,false,true,true,true,false,true,true
1946-12-8,true,true,false,true,true,true,true,true,true,true,false
1947-06-3,true,true,true,true,false,true,true,true,false,true,true
1947-11-28,true,true,false,true,true,true,true,false,true,true,true
1948-04-23,true,true,true,true,false,true,false,true,true,true,true
1948-10-18,true,true,true,true,true,false,true,true,true,true,true
1949-04-13,true,true,true,true,false,false,true,true,true,true,true
1949-10-7,true,true,true,true,true,false,true,true,true,true,true
1950-04-2,true,true,true,true,true,true,true,true,true,true,true
1950-09-26,true,true,true,true,true,false,true,true,true,true,true
1951-02-21,true,true,true,true,true,true,true,true,true,true,true
1951-08-17,true,true,true,true,false,false,true,true,true,true,true
1952-02-11,true,true,true,true,true,true,true,true,true,true,true
1952-08-5,true,true,true,true,false,true,true,true,false,true,true
1953-01-29,true,true,true,true,true,true,true,true,true,true,true
1953-07-26,true,true,true,true,false,true,false,true,true,true,true
1954-01-19,true,true,false,true,true,false,true,true,true,true,true
1954-07-16,true,true,true,true,false,true,true,true,true,true,true
1955-06-5,true,true,true,true,false,true,false,true,true,true,true
1955-07-5,true,true,true,true,true,true,true,true,true,true,true
1955-11-29,true,true,false,true,true,true,true,true,true,true,false
1956-05-24,true,true,true,true,false,true,true,true,true,true,false
1956-11-18,true,true,true,true,true,true,true,false,true,true,true
1957-05-13,true,true,true,true,false,true,true,true,true,true,true
1957-11-7,true,true,true,true,true,true,true,true,true,true,false
1958-04-4,true,true,true,true,true,false,true,true,true,true,true
1958-10-27,true,true,true,false,true,true,true,true,true,true,false
1959-03-24,true,true,true,true,true,true,true,true,true,true,true
1959-09-17,true,true,true,true,true,false,true,true,true,true,true
1960-03-13,true,true,true,true,true,true,true,false,true,true,true
1961-03-2,true,true,true,true,true,true,true,true,true,true,true
1961-08-26,true,true,true,true,false,false,true,true,true,true,true
1962-08-15,true,true,true,true,false,true,true,true,false,true,true
1963-01-9,true,true,false,true,true,true,true,true,true,true,true
1963-07-6,true,true,true,true,false,true,true,true,true,true,true
1964-06-25,true,true,true,true,false,true,true,true,true,true,true
1964-12-19,true,true,false,true,true,false,true,true,true,true,true
1965-06-14,true,true,true,true,false,false,true,true,true,true,true
1965-12-8,true,true,false,true,true,true,true,true,true,true,false
1966-05-4,true,true,true,true,false,true,true,true,true,true,true
1966-06-3,true,true,true,true,true,true,true,true,true,true,true
1968-04-13,true,true,true,true,false,false,true,true,true,true,true
1969-03-4,true,true,true,true,true,true,true,true,true,true,true
1969-04-2,true,true,true,true,true,true,true,true,false,true,false
1969-09-25,true,true,true,true,true,true,true,true,true,true,true
1970-02-21,true,true,true,true,true,true,true,false,true,true,true
1970-08-17,true,true,true,true,false,false,true,true,true,true,true
1971-02-10,true,true,true,true,true,true,true,false,true,true,true
1971-08-6,true,true,true,true,false,true,true,true,false,true,true
1972-07-26,true,true,true,true,false,true,true,true,true,true,true
1973-01-18,true,true,false,true,true,true,true,true,true,true,true
1973-06-15,true,true,true,true,false,true,true,true,false,true,true
1973-12-10,true,true,false,true,true,false,true,true,true,true,true
1974-06-4,true,true,true,true,false,true,true,true,true,true,true
1974-11-29,true,true,false,true,true,true,true,true,true,true,false
1975-05-25,true,false,true,true,false,true,true,true,true,true,true
1975-11-18,true,true,true,true,true,true,true,true,true,true,true
1976-04-14,true,true,true,true,true,true,true,true,true,true,true
1976-05-13,true,true,true,true,false,true,true,true,false,true,true
1976-11-6,true,true,true,true,true,true,true,true,true,true,true
1977-04-4,true,true,true,true,true,false,true,true,true,true,true
1977-09-27,true,true,true,true,true,true,true,false,true,true,true
1978-03-24,true,true,true,true,true,true,true,true,true,true,false
1978-09-16,true,true,true,true,true,true,true,true,true,true,true
1979-03-13,true,true,true,true,true,true,true,true,true,true,true
1980-03-1,true,true,true,true,true,true,true,true,true,true,true
1980-07-27,true,true,true,true,false,true,true,true,false,true,false
1980-08-26,true,true,true,true,false,false,true,true,true,true,true
1981-01-20,true,true,false,true,true,true,true,false,true,true,true
1981-07-17,true,true,true,true,false,true,true,true,true,true,true
1982-01-9,true,true,false,true,true,true,true,true,true,true,true
1982-07-6,true,true,true,true,false,true,true,true,true,true,true
1983-06-25,true,true,true,true,false,true,false,true,true,true,true
1983-12-20,true,true,false,true,true,false,true,true,true,true,true
1984-05-15,true,true,true,true,false,false,true,true,true,true,true
1984-06-13,true,true,true,true,false,true,false,true,false,true,false
1984-11-8,true,true,true,true,true,true,true,true,true,true,false
1985-05-4,true,true,true,true,false,true,true,true,false,true,true
1985-10-28,true,true,true,true,true,true,true,true,true,true,true
1986-04-24,true,true,true,true,false,true,false,true,true,true,true
1986-10-17,true,true,true,true,true,true,true,true,true,true,true
1987-04-14,true,true,true,true,false,false,true,true,true,true,true
1987-09-7,true,true,true,true,true,true,true,true,true,true,true
1987-10-7,true,true,true,true,true,false,true,true,true,true,true
1988-03-3,true,true,true,true,true,true,true,true,true,true,false
1989-02-20,true,true,true,true,true,true,true,true,true,true,false
1989-08-17,true,true,true,true,false,false,true,true,true,true,true
1990-02-9,true,true,true,true,true,true,true,true,true,true,true
1990-08-6,true,true,true,true,false,true,true,true,true,true,true
1991-01-30,true,true,true,true,true,false,true,false,true,true,true
1991-06-27,true,true,true,true,false,false,true,true,true,true,true
1991-07-26,true,true,true,true,false,true,true,true,false,true,false
1992-06-15,true,true,true,true,false,true,true,true,true,true,true
1992-12-9,true,true,false,true,true,true,true,true,true,true,true
1993-06-4,true,true,true,true,false,true,false,true,true,true,true
1993-11-29,true,true,false,true,true,true,true,false,true,true,true
1994-05-25,true,true,true,true,false,false,true,true,true,true,true
1994-11-18,true,true,true,true,true,true,true,false,true,true,true
1995-10-8,true,true,true,true,true,true,true,true,true,true,false
1996-04-4,true,true,true,true,true,true,true,true,true,true,true
1996-09-27,true,true,true,true,true,false,true,true,true,true,true
