Date,africa,asia,antarctica,atlantic,arctic,australia,europe,indian-ocean,north-america,pacific,south-america
1900-05-28,true,true,false,true,true,false,true,false,true,true,true
1900-11-22,true,true,true,true,false,true,false,true,false,true,false
1901-05-18,true,true,false,false,false,true,false,true,false,true,false
1901-11-11,true,true,false,false,false,true,true,true,false,true,false
1903-09-21,true,false,true,true,false,true,false,true,false,true,false
1904-03-17,true,true,false,false,false,true,false,true,false,true,false
1905-08-30,true,true,false,true,true,false,true,true,true,false,false
1907-01-14,true,true,false,false,false,false,true,true,false,true,false
1907-07-10,true,false,false,true,false,false,false,false,true,true,true
1908-06-28,true,true,false,true,false,false,true,false,true,true,true
1908-12-23,true,false,true,true,false,false,false,true,false,true,true
1912-04-17,true,true,false,true,true,false,true,false,true,false,true
1912-10-10,true,false,true,true,false,false,false,true,true,true,true
1913-09-30,true,false,true,true,false,false,false,true,false,false,false
1914-08-21,true,true,false,true,true,false,true,true,true,false,false
1915-02-14,true,true,true,true,false,true,false,true,false,true,false
1916-02-3,true,false,false,true,false,false,true,false,true,true,true
1917-01-23,true,true,false,false,false,false,true,false,false,false,false
1918-12-3,true,false,true,true,false,false,false,false,true,true,true
1919-05-29,true,true,false,true,false,false,false,true,true,true,true
1919-11-22,true,false,false,true,false,false,true,false,true,true,true
1920-11-10,true,false,false,true,false,false,true,false,true,false,false
1921-04-8,true,true,false,true,true,false,true,false,true,false,false
1922-03-28,true,true,false,true,false,false,true,true,true,true,true
1922-09-21,true,true,false,false,false,true,false,true,false,true,false
1923-03-17,true,true,true,true,false,false,false,true,false,true,true
1924-03-5,true,false,true,true,false,false,false,true,false,true,false
1925-01-24,true,false,false,true,false,false,true,false,true,false,true
1926-01-14,true,true,false,false,false,true,true,true,false,true,false
1927-06-29,true,true,false,true,true,false,true,false,true,true,false
1928-05-19,true,false,true,true,false,false,false,true,false,false,true
1928-11-12,true,true,false,false,false,false,true,false,false,false,false
1929-05-9,true,true,false,false,false,true,false,true,false,true,false
1929-11-1,true,true,false,true,false,false,true,true,true,false,false
1933-02-24,true,true,true,true,false,false,true,true,false,true,true
1933-08-21,true,true,false,false,false,true,true,true,false,true,false
1934-08-10,true,true,true,true,false,false,false,true,false,false,false
1935-01-5,true,true,true,true,true,true,true,true,true,true,true
1936-06-19,true,true,false,true,true,false,true,false,true,true,false
1938-05-29,true,false,false,true,false,false,false,false,false,true,true
1940-10-1,true,false,true,true,false,false,false,true,true,true,true
1941-09-21,true,true,false,false,true,true,true,false,true,true,false
1942-09-10,true,true,false,true,true,false,true,false,true,false,false
1943-08-1,true,true,true,false,false,true,false,true,false,true,false
1944-01-25,true,false,false,true,false,false,true,false,true,true,true
1944-07-20,true,true,false,false,false,true,true,true,false,true,false
1945-01-14,true,false,true,true,false,true,false,true,false,true,false
1945-07-9,true,true,false,true,true,false,true,false,true,false,false
1947-05-20,true,true,false,true,false,false,false,true,false,true,true
1948-11-1,true,true,true,true,false,true,false,true,false,true,false
1949-04-28,true,true,false,true,true,false,true,false,true,false,false
1950-03-18,true,false,true,true,false,false,false,true,false,true,true
1951-09-1,true,true,false,true,false,false,true,true,true,false,true
1952-02-25,true,true,false,true,true,false,true,true,false,false,false
1954-06-30,true,true,false,true,true,false,true,true,true,false,false
1954-12-25,true,true,true,true,false,true,false,true,false,true,false
1955-06-20,true,true,false,false,false,true,false,true,false,true,false
1955-12-14,true,true,false,true,false,false,true,true,false,true,false
1956-12-2,true,true,false,false,false,false,true,false,false,false,false
1957-10-23,true,false,true,true,false,false,false,true,false,true,false
1958-04-19,true,true,false,false,false,false,false,true,true,true,false
1959-10-2,true,true,false,true,true,false,true,true,true,false,true
1961-02-15,true,true,false,false,false,false,true,false,false,false,false
1961-08-11,true,false,true,true,false,false,false,true,false,false,true
1962-07-31,true,true,false,true,false,false,true,true,true,true,true
1963-01-25,true,false,true,true,false,false,false,true,false,true,true
1965-11-23,true,true,false,false,false,true,false,true,false,true,false
1966-05-20,true,true,false,true,true,false,true,false,false,false,true
1966-11-12,true,false,true,true,false,false,false,true,true,true,true
1967-11-2,true,false,true,true,false,false,false,true,false,true,false
1968-09-22,true,true,false,true,true,false,true,true,false,false,false
1969-03-18,true,true,true,false,false,true,false,true,false,true,false
1971-02-25,true,true,false,true,true,false,true,false,false,false,false
1973-01-4,true,false,true,true,false,false,false,false,false,true,true
1973-06-30,true,true,false,true,false,false,true,true,true,false,true
1973-12-24,true,false,false,true,false,false,true,false,true,true,true
1974-06-20,true,true,false,false,false,true,false,true,false,true,false
1975-05-11,true,true,false,true,true,false,true,false,true,true,false
1976-04-29,true,true,false,true,true,false,true,false,true,false,true
1976-10-23,true,true,true,false,false,true,false,true,false,true,false
1977-04-18,true,true,true,true,false,false,false,true,false,false,true
1978-04-7,true,false,true,true,false,false,false,true,false,true,true
1980-02-16,true,true,false,true,false,false,false,true,false,false,false
1982-06-21,true,false,false,true,false,false,false,true,false,false,false
1982-12-15,true,true,false,false,false,false,true,false,false,false,false
1983-06-11,true,true,false,false,false,true,false,true,false,true,false
1983-12-4,true,true,false,true,false,false,true,true,true,false,true
1984-05-30,true,true,false,true,true,false,true,false,true,true,true
1987-03-29,true,true,true,true,false,false,true,true,false,true,true
1988-09-11,true,true,true,true,false,true,false,true,false,true,false
1989-08-31,true,false,true,true,false,false,false,true,false,false,false
1992-06-30,true,false,false,true,false,false,false,true,false,false,true
1994-05-10,true,true,false,true,true,false,true,false,true,true,true
1994-11-3,true,false,true,true,false,false,false,true,true,true,true
1995-04-29,true,false,false,true,false,false,false,false,true,true,true
1995-10-24,true,true,false,false,false,true,true,true,false,true,false
1996-10-12,true,true,false,true,true,false,true,false,true,false,false
1998-02-26,true,false,false,true,false,false,true,false,true,true,true
1999-02-16,true,true,true,true,false,true,false,true,false,true,false
1999-08-11,true,true,false,true,true,false,true,true,true,false,false
2001-06-21,true,false,false,true,false,false,false,true,false,false,true
2002-12-4,true,true,true,true,false,true,false,true,false,true,false
2003-05-31,true,true,false,true,true,false,true,false,true,true,false
2004-04-19,true,false,true,true,false,false,false,true,false,false,false
2005-10-3,true,true,false,true,true,false,true,true,true,false,false
2006-03-29,true,true,false,true,true,false,true,false,false,false,true
2006-09-22,true,false,true,true,false,false,false,true,true,true,true
2009-01-26,true,true,true,true,false,true,false,true,false,true,false
2010-01-15,true,true,false,true,false,false,true,true,false,true,false
2011-01-4,true,true,false,false,false,false,true,false,false,false,false
2011-11-25,true,false,true,true,false,true,false,true,false,true,false
2013-11-3,true,true,false,true,false,false,true,true,true,true,true
2015-03-20,true,true,false,true,true,false,true,false,true,false,false
2015-09-13,true,false,true,true,false,false,false,true,false,false,false
2016-09-1,true,true,true,true,false,true,false,true,false,false,false
2017-02-26,true,false,true,true,false,false,false,true,false,true,true
2017-08-21,true,true,false,true,true,false,true,false,true,true,true
2019-12-26,true,true,false,false,false,true,true,true,false,true,false
1902-10-31,false,true,false,false,false,false,true,false,false,false,false
1903-03-29,false,true,false,false,true,false,true,false,true,true,false
