Ascending,Descending
2001-01-09 13:53,2001-01-22 22:22
2001-02-06 00:48,2001-02-19 02:52
2001-03-05 07:23,2001-03-18 04:58
2001-04-01 09:01,2001-04-14 06:52
2001-04-28 09:43,2001-05-11 11:02
2001-05-25 13:51,2001-06-07 17:37
2001-06-21 22:11,2001-07-05 00:48
2001-07-19 08:24,2001-08-01 06:21
2001-08-15 17:05,2001-08-28 09:09
2001-09-11 21:36,2001-09-24 10:28
2001-10-08 22:32,2001-10-21 13:22
2001-11-04 23:58,2001-11-17 19:51
2001-12-02 05:30,2001-12-15 04:32
2001-12-29 14:51,2002-01-11 11:56
2002-01-26 00:27,2002-02-07 15:33
2002-02-22 06:26,2002-03-06 16:19
2002-03-21 08:14,2002-04-02 18:20
2002-04-17 09:15,2002-04-30 00:29
2002-05-14 13:00,2002-05-27 09:39
2002-06-10 20:00,2002-06-23 18:39
2002-07-08 04:15,2002-07-21 00:41
2002-08-04 11:03,2002-08-17 02:54
2002-08-31 14:43,2002-09-13 03:39
2002-09-27 16:06,2002-10-10 07:07
2002-10-24 18:18,2002-11-06 15:22
2002-11-20 23:26,2002-12-04 02:12
2002-12-18 06:47,2002-12-31 11:16
2003-01-14 13:38,2003-01-27 15:23
2003-02-10 17:39,2003-02-23 15:47
2003-03-09 19:23,2003-03-22 17:37
2003-04-05 21:41,2003-04-19 00:24
2003-05-03 02:17,2003-05-16 10:51
2003-05-30 08:33,2003-06-12 21:16
2003-06-26 14:34,2003-07-10 04:17
2003-07-23 18:44,2003-08-06 06:49
2003-08-19 21:08,2003-09-02 07:23
2003-09-15 23:28,2003-09-29 10:34
2003-10-13 03:40,2003-10-26 18:43
2003-11-09 09:48,2003-11-23 06:02
2003-12-06 16:00,2003-12-20 16:07
2004-01-02 20:11,2004-01-16 21:08
2004-01-29 22:07,2004-02-12 21:44
2004-02-26 00:15,2004-03-10 23:05
2004-03-24 04:55,2004-04-07 05:05
2004-04-20 11:40,2004-05-04 15:00
2004-05-17 18:17,2004-06-01 01:20
2004-06-13 22:49,2004-06-28 08:37
2004-07-11 00:59,2004-07-25 11:29
2004-08-07 02:41,2004-08-21 12:11
2004-09-03 06:34,2004-09-17 14:51
2004-09-30 13:30,2004-10-14 21:47
2004-10-27 21:41,2004-11-11 07:43
2004-11-24 04:05,2004-12-08 16:57
2004-12-21 06:51,2005-01-04 21:52
2005-01-17 07:32,2005-01-31 22:49
2005-02-13 10:25,2005-02-28 00:10
2005-03-12 17:37,2005-03-27 05:15
2005-04-09 02:59,2005-04-23 13:30
2005-05-06 10:56,2005-05-20 22:02
2005-06-02 15:14,2005-06-17 03:59
2005-06-29 16:29,2005-07-14 06:35
2005-07-26 17:58,2005-08-10 07:53
2005-08-22 23:05,2005-09-06 10:52
2005-09-19 08:09,2005-10-03 16:51
2005-10-16 18:25,2005-10-31 00:32
2005-11-13 02:02,2005-11-27 07:13
2005-12-10 04:50,2005-12-24 10:43
2006-01-06 05:01,2006-01-20 12:06
2006-02-02 08:02,2006-02-16 14:38
2006-03-01 16:25,2006-03-15 19:52
2006-03-29 03:31,2006-04-12 02:35
2006-04-25 12:59,2006-05-09 08:29
2006-05-22 18:00,2006-06-05 12:10
2006-06-18 19:11,2006-07-02 14:19
2006-07-15 20:25,2006-07-29 16:58
2006-08-12 01:31,2006-08-25 21:34
2006-09-08 11:01,2006-09-22 03:42
2006-10-05 22:11,2006-10-19 09:34
2006-11-02 06:55,2006-11-15 13:25
2006-11-29 10:26,2006-12-12 15:19
2006-12-26 10:36,2007-01-08 17:44
2007-01-22 13:00,2007-02-04 22:44
2007-02-18 20:43,2007-03-04 05:31
2007-03-18 07:40,2007-03-31 11:41
2007-04-14 17:34,2007-04-27 15:27
2007-05-11 23:08,2007-05-24 17:16
2007-06-08 00:35,2007-06-20 19:32
2007-07-05 01:39,2007-07-18 00:18
2007-08-01 06:03,2007-08-14 07:25
2007-08-28 14:27,2007-09-10 14:49
2007-09-25 00:40,2007-10-07 20:03
2007-10-22 09:02,2007-11-03 22:09
2007-11-18 12:46,2007-11-30 23:09
2007-12-15 13:15,2007-12-28 02:57
2008-01-11 15:17,2008-01-24 10:49
2008-02-07 21:39,2008-02-20 20:01
2008-03-06 06:52,2008-03-19 02:53
2008-04-02 15:18,2008-04-15 05:48
2008-04-29 20:07,2008-05-12 06:37
2008-05-26 21:45,2008-06-08 09:15
2008-06-22 23:17,2008-07-05 15:53
2008-07-20 03:27,2008-08-02 01:21
