Date,Length,DistanceFromMean,TrueAnomaly
2001-01-24 13:07,29d 19h 14m,+07h01m,177.9
2001-02-23 08:21,29d 17h 00m,+04h16m,202.8
2001-03-25 01:21,29d 14h 05m,+01h21m,232.3
2001-04-23 15:26,29d 11h 20m,-01h24m,267.3
2001-05-23 02:46,29d 09h 12m,-03h32m,299.7
2001-06-21 11:58,29d 07h 47m,-04h57m,324.1
2001-07-20 19:44,29d 07h 11m,-05h33m,342.5
2001-08-19 02:55,29d 07h 32m,-05h12m,358.1
2001-09-17 10:27,29d 08h 56m,-03h48m,13.2
2001-10-16 19:23,29d 11h 17m,-01h27m,30.5
2001-11-15 06:40,29d 14h 07m,+01h23m,53.5
2001-12-14 20:47,29d 16h 41m,+03h57m,86.2
2002-01-13 13:29,29d 18h 12m,+05h28m,123.9
2002-02-12 07:41,29d 18h 22m,+05h38m,155.3
2002-03-14 02:03,29d 17h 19m,+04h35m,180.3
2002-04-12 19:21,29d 15h 24m,+02h40m,204.7
2002-05-12 10:45,29d 13h 01m,+00h17m,233.6
2002-06-10 23:47,29d 10h 40m,-02h05m,268.1
2002-07-10 10:26,29d 08h 49m,-03h55m,300.4
2002-08-08 19:15,29d 07h 55m,-04h49m,324.8
2002-09-07 03:10,29d 08h 07m,-04h37m,343.1
2002-10-06 11:18,29d 09h 17m,-03h27m,358.6
2002-11-04 20:34,29d 11h 00m,-01h44m,14.0
2002-12-04 07:34,29d 12h 48m,+00h04m,32.1
2003-01-02 20:23,29d 14h 26m,+01h41m,56.5
2003-02-01 10:48,29d 15h 47m,+03h03m,90.6
2003-03-03 02:35,29d 16h 44m,+04h00m,127.8
2003-04-01 19:19,29d 16h 56m,+04h12m,157.7
2003-05-01 12:15,29d 16h 05m,+03h21m,181.7
2003-05-31 04:20,29d 14h 19m,+01h35m,205.5
2003-06-29 18:39,29d 12h 14m,-00h30m,234.1
2003-07-29 06:53,29d 10h 34m,-02h10m,268.5
2003-08-27 17:26,29d 09h 43m,-03h01m,301.0
2003-09-26 03:09,29d 09h 41m,-03h03m,325.5
2003-10-25 12:50,29d 10h 09m,-02h35m,344.0
2003-11-23 22:59,29d 10h 44m,-02h00m,359.8
2003-12-23 09:43,29d 11h 22m,-01h22m,15.5
2004-01-21 21:05,29d 12h 13m,-00h31m,33.9
2004-02-20 09:18,29d 13h 24m,+00h40m,59.1
2004-03-20 22:41,29d 14h 40m,+01h56m,93.6
2004-04-19 13:21,29d 15h 31m,+02h47m,129.7
2004-05-19 04:52,29d 15h 35m,+02h51m,158.3
2004-06-17 20:27,29d 14h 57m,+02h13m,181.6
2004-07-17 11:24,29d 14h 00m,+01h16m,205.1
2004-08-16 01:24,29d 13h 05m,+00h21m,234.0
2004-09-14 14:29,29d 12h 19m,-00h25m,269.4
2004-10-14 02:48,29d 11h 39m,-01h05m,302.8
2004-11-12 14:27,29d 11h 02m,-01h42m,327.5
2004-12-12 01:29,29d 10h 34m,-02h10m,345.8
2005-01-10 12:03,29d 10h 25m,-02h19m,1.4
2005-02-08 22:28,29d 10h 42m,-02h02m,17.1
2005-03-10 09:10,29d 11h 22m,-01h22m,36.2
2005-04-08 20:32,29d 12h 13m,-00h31m,62.3
2005-05-08 08:45,29d 13h 10m,+00h26m,96.6
2005-06-06 21:55,29d 14h 07m,+01h23m,131.2
2005-07-06 12:02,29d 15h 02m,+02h18m,158.8
2005-08-05 03:05,29d 15h 41m,+02h57m,181.9
2005-09-03 18:45,29d 15h 42m,+02h58m,205.9
2005-10-03 10:28,29d 14h 57m,+02h13m,236.1
2005-11-02 01:25,29d 13h 36m,+00h52m,273.1
2005-12-01 15:01,29d 12h 11m,-00h33m,306.3
2005-12-31 03:12,29d 11h 03m,-01h41m,329.9
2006-01-29 14:15,29d 10h 16m,-02h28m,347.5
2006-02-28 00:31,29d 09h 44m,-03h00m,2.9
2006-03-29 10:15,29d 09h 29m,-03h15m,19.0
2006-04-27 19:44,29d 09h 42m,-03h02m,38.4
2006-05-27 05:26,29d 10h 40m,-02h04m,64.2
2006-06-25 16:05,29d 12h 26m,-00h18m,97.5
2006-07-25 04:31,29d 14h 39m,+01h55m,131.2
2006-08-23 19:10,29d 16h 35m,+03h51m,158.8
2006-09-22 11:45,29d 17h 29m,+04h45m,182.3
2006-10-22 05:14,29d 17h 04m,+04h20m,207.1
2006-11-20 22:18,29d 15h 43m,+02h59m,238.7
2006-12-20 14:01,29d 14h 00m,+01h16m,276.5
2007-01-19 04:01,29d 12h 14m,-00h30m,308.6
2007-02-17 16:14,29d 10h 28m,-02h16m,331.4
2007-03-19 02:43,29d 08h 53m,-03h51m,348.7
2007-04-17 11:36,29d 07h 51m,-04h53m,4.0
2007-05-16 19:27,29d 07h 46m,-04h58m,19.8
2007-06-15 03:13,29d 08h 51m,-03h53m,38.7
2007-07-14 12:04,29d 10h 59m,-01h45m,64.2
2007-08-12 23:03,29d 13h 42m,+00h58m,97.3
2007-09-11 12:44,29d 16h 16m,+03h32m,131.4
2007-10-11 05:01,29d 18h 02m,+05h18m,159.5
2007-11-09 23:03,29d 18h 37m,+05h53m,183.8
2007-12-09 17:40,29d 17h 57m,+05h13m,209.6
2008-01-08 11:37,29d 16h 07m,+03h23m,242.4
2008-02-07 03:45,29d 13h 30m,+00h46m,280.0
2008-03-07 17:14,29d 10h 41m,-02h03m,310.8
2008-04-06 03:55,29d 08h 23m,-04h21m,332.7
2008-05-05 12:18,29d 07h 04m,-05h40m,349.4
2008-06-03 19:23,29d 06h 56m,-05h48m,4.4
2008-07-03 02:19,29d 07h 54m,-04h50m,20.1
2008-08-01 10:13,29d 09h 45m,-02h59m,39.2
2008-08-30 19:58,29d 12h 14m,-00h30m,64.9
2008-09-29 08:12,29d 15h 02m,+02h18m,98.7
2008-10-28 23:14,29d 17h 41m,+04h57m,133.4
2008-11-27 16:55,29d 19h 28m,+06h44m,161.9
2008-12-27 12:22,29d 19h 33m,+06h49m,186.6
2009-01-26 07:55,29d 17h 40m,+04h56m,213.2
2009-02-25 01:35,29d 14h 31m,+01h47m,246.2
2009-03-26 16:06,29d 11h 17m,-01h27m,282.4
2009-04-25 03:23,29d 08h 48m,-03h56m,311.7
2009-05-24 12:11,29d 07h 24m,-05h20m,332.7
2009-06-22 19:35,29d 07h 00m,-05h44m,349.4
2009-07-22 02:35,29d 07h 27m,-05h17m,4.5
2009-08-20 10:02,29d 08h 43m,-04h01m,20.3
2009-09-18 18:44,29d 10h 49m,-01h55m,39.3
2009-10-18 05:33,29d 13h 41m,+00h57m,65.2
2009-11-16 19:14,29d 16h 48m,+04h04m,99.9
2009-12-16 12:02,29d 19h 09m,+06h25m,135.6
2010-01-15 07:11,29d 19h 40m,+06h56m,164.3
2010-02-14 02:51,29d 18h 10m,+05h26m,188.9
2010-03-15 21:01,29d 15h 28m,+02h44m,215.2
2010-04-14 12:29,29d 12h 35m,-00h09m,247.4
2010-05-14 01:04,29d 10h 10m,-02h34m,282.4
2010-06-12 11:15,29d 08h 26m,-04h18m,311.3
2010-07-11 19:40,29d 07h 28m,-05h16m,332.7
2010-08-10 03:08,29d 07h 22m,-05h22m,349.5
2010-09-08 10:30,29d 08h 15m,-04h29m,4.6
2010-10-07 18:44,29d 10h 07m,-02h37m,20.4
2010-11-06 04:52,29d 12h 44m,-00h00m,39.7
2010-12-05 17:36,29d 15h 27m,+02h43m,67.0
2011-01-04 09:03,29d 17h 28m,+04h44m,103.5
2011-02-03 02:31,29d 18h 15m,+05h31m,139.2
2011-03-04 20:46,29d 17h 46m,+05h02m,167.0
2011-04-03 14:32,29d 16h 18m,+03h34m,190.9
2011-05-03 06:51,29d 14h 12m,+01h28m,216.7
2011-06-01 21:03,29d 11h 51m,-00h53m,248.4
2011-07-01 08:54,29d 09h 46m,-02h58m,283.1
2011-07-30 18:40,29d 08h 24m,-04h20m,312.1
2011-08-29 03:04,29d 08h 05m,-04h39m,333.4
2011-09-27 11:09,29d 08h 47m,-03h57m,350.1
2011-10-26 19:56,29d 10h 14m,-02h30m,5.3
2011-11-25 06:10,29d 11h 57m,-00h47m,21.6
2011-12-24 18:06,29d 13h 33m,+00h49m,42.1
2012-01-23 07:39,29d 14h 55m,+02h11m,70.8
2012-02-21 22:35,29d 16h 03m,+03h18m,107.8
2012-03-22 14:37,29d 16h 41m,+03h57m,142.2
2012-04-21 07:18,29d 16h 29m,+03h45m,168.7
2012-05-20 23:47,29d 15h 15m,+02h31m,191.8
